Source,Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction
CEINT,68,13,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Population Rate,0.321637,Less
CEINT,69,14,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Emergency Rate,0,Less
CEINT,70,14,Dispersive,NanoSilver,0.2,mg/L,Daphnia magna,Emergency Rate,0.263473,Less
CEINT,71,14,Dispersive,NanoSilver,0.5,mg/L,Daphnia magna,Emergency Rate,0.251497,Less
CEINT,72,14,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Emergency Rate,0.449102,Less
CEINT,73,15,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less
CEINT,74,15,Dispersive,NanoSilver,5,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.098215,Less
CEINT,75,15,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.098215,Less
CEINT,76,15,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less
CEINT,77,15,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.388391,Less
CEINT,78,15,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.39732,Less
CEINT,79,16,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less
CEINT,80,16,Dispersive,NanoSilver,5,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.03674,Less
CEINT,81,16,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.09388,Less
CEINT,82,16,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.15102,Less
CEINT,83,16,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.424491,Less
CEINT,84,16,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.791837,Less
CEINT,85,17,Dispersive,NanoSilver,0,mg/L,Danio rerio,Hatching Rate,0,Less
CEINT,86,17,Dispersive,NanoSilver,5,mg/L,Danio rerio,Hatching Rate,0.0008,Less
CEINT,87,17,Dispersive,NanoSilver,10,mg/L,Danio rerio,Hatching Rate,0.001645,Less
CEINT,88,17,Dispersive,NanoSilver,25,mg/L,Danio rerio,Hatching Rate,0.002367,Less
CEINT,89,17,Dispersive,NanoSilver,50,mg/L,Danio rerio,Hatching Rate,0.167577,Less
CEINT,90,17,Dispersive,NanoSilver,100,mg/L,Danio rerio,Hatching Rate,0.670921,Less
