Nanomaterial,Matrix,PF
NanoSilver,Dispersive,1.00 
Carbon Nanotubes,Dispersive,1.00 
Carbon Nanofibers,Dispersive,1.00 
NanoClay,Dispersive,1.00 
NanoSilver,Polyurethane foam,0.20 
Carbon Nanotubes,Polyurethane foam,0.20 
Carbon Nanofibers,Polyurethane foam,0.20 
NanoClay,Polyurethane foam,0.20 
NanoSilver,Thermoplastic,0.05 
Carbon Nanotubes,Thermoplastic,0.05 
Carbon Nanofibers,Thermoplastic,0.05 
NanoClay,Thermoplastic,0.05 
